,№ заявки,Цех,Инв. номер,Год выпуска,Оборудование,Модель,Дата открытия,Описание неисправ.,Причина неисправности,Принятые меры,Дата закрытия заявки,data,day,month,year,temp,длительность ремонта,Категория оборудования
25434,24-09-050,ЦЕХ 9,1/335,1988.0,пpecc kpиboш.oбpeзh.,КВ-9532,2024-09-09,не завершает цикл,нет цикла,замена платы управления,2024-09-12,2024-09-09,9.0,9.0,2024.0,27.0,3 days,Д
25435,24-09-046,ЦЕХ 41,11-34,1986.0,профилешлифовальный станок с чпу,GLS-135 AS,2024-09-09,слетела программа после откл электричества,"сбой эл питания станка, удалились параметры","диагностика, восстановление параметров",2024-09-11,2024-09-09,9.0,9.0,2024.0,27.0,2 days,Ш
25436,24-09-045,ЦЕХ 22,5-00054-40998,2008.0,центр вертикально-обрабатывающий с чпу,Emcomill E600,2024-09-09,ош 3000 (по z),выход из строя датчика обрыва ремня привода оси z.,замена датчика.,2024-09-21,2024-09-09,9.0,9.0,2024.0,27.0,12 days,Ф
25437,24-09-044,ЦЕХ 22,5-772,2012.0,центр вертикально-фрезерный обрабатывающий,A-6,2024-09-09,не вкл,скачок напряжения,перезапуск с-мы чпу,2024-09-11,2024-09-09,9.0,9.0,2024.0,27.0,2 days,Ф
25438,24-09-047,ЦЕХ 43,5-223,2006.0,центр фрезерный обрабатывающий с чпу,C-40U,2024-09-09,не запускается,низкий уровень охлаждающей жидкости.,долив жидкости.,2024-09-09,2024-09-09,9.0,9.0,2024.0,27.0,0 days,А
25439,24-09-057,ЦЕХ 16,5/447,1986.0,ct д/aбpaзиbho-жидkocthoй oбpaботки,Э3-183,2024-09-10,неисправность шпинделя,неисправна гидросхема,"диагностика,выявлен износ ее.приобрести дросселирующей гидрораспределитель 12г68-11",2024-09-16,2024-09-10,10.0,9.0,2024.0,27.0,6 days,Э
25440,24-09-059,ЦЕХ 20,9-395,2003.0,cушильhый шkaф,GR-1540,2024-09-10,ремонт вак с-мы,замена вакуумного уплотнения.,замена вакуумного уплотнения.,2024-09-12,2024-09-10,10.0,9.0,2024.0,27.0,2 days,Г
25441,24-09-052,ЦЕХ 17,8/97,1984.0,гильot.hoжhицы c пapaл.пpиboдom,"NTE3150/6,3",2024-09-10,н/р,сбой цикла.,регулировка.,2024-09-16,2024-09-10,10.0,9.0,2024.0,27.0,6 days,В
25442,24-09-053,ЦЕХ 19,2-119,2002.0,зубофрезерный станок,P-600,2024-09-10,не загружается,сбой pcu 50 при загрузке системы,перезагрузка системы,2024-09-10,2024-09-10,10.0,9.0,2024.0,27.0,0 days,М
25443,24-09-058,ЦЕХ 15,3-740,2019.0,печь,RVF-524(FV) AvaC(N),2024-09-10,ремонт вак с-мы,замена вакуумного уплотнения.,замена вакуумного уплотнения.,2024-09-13,2024-09-10,10.0,9.0,2024.0,27.0,3 days,Г
25444,24-09-055,ЦЕХ 14,5-589,2004.0,станок высокоскоростной для шлифования законцовок лопаток с чпу,DANTIP R3-1500/2000,2024-09-10,н/р гидравлика,не вкл гидравлика,проверка гидравлической с-мы станка,2024-09-10,2024-09-10,10.0,9.0,2024.0,27.0,0 days,Ш
25445,24-09-054,ЦЕХ 14,5-589,2004.0,станок высокоскоростной для шлифования законцовок лопаток с чпу,DANTIP R3-1500/2000,2024-09-10,ош по драйверам и сервоприводу,сбой системы во время реферирования по х,"снятие концевика по х, повторное реферирование",2024-09-10,2024-09-10,10.0,9.0,2024.0,27.0,0 days,Ш
25446,24-09-056,ЦЕХ 16,5-247,2014.0,обрабатывающий центр фрезерный пятиосевой,MX10,2024-09-10,перегрев,прошу оформить сз о вызове специалиста.,,2024-09-20,2024-09-10,10.0,9.0,2024.0,27.0,10 days,А
25447,24-09-061,ЦЕХ 43,5-286,2019.0,вертикально-токарный обрабатывающий центр,SPV 60 KK C8,2024-09-11,откл. датчик откр.-закр.кожуха маг. инстр.,выход из строя датчика положения пневмоцилиндра магазина инструмента.,замена датчика.,2024-09-12,2024-09-11,11.0,9.0,2024.0,25.0,1 days,А
25448,24-09-060,ЦЕХ 14,5-589,2004.0,станок высокоскоростной для шлифования законцовок лопаток с чпу,DANTIP R3-1500/2000,2024-09-11,ош. по дверям,нестабильная работа с-мы закрытия дверей,"проверка цепи срабатывания мех-мов закрытия двери, требуется замена реле безопасности",2024-09-16,2024-09-11,11.0,9.0,2024.0,25.0,5 days,Ш
25449,24-09-070,ЦЕХ 41,11-34,1986.0,профилешлифовальный станок с чпу,GLS-135 AS,2024-09-11,откл. и не вкл.,не запускается,"востановление параметров чпу,требуется корректировка рабочей программы службой оспу",2024-09-12,2024-09-11,11.0,9.0,2024.0,25.0,1 days,Ш
25450,24-09-069,ЦЕХ 20,5/523,1987.0,спец.плоско-шлифов. с чпу глубиного шлиф,SLS 221 с ЧПУ,2024-09-11,ось у деблокировка регуляровки перемещаемой оси,сбой при вкл станка по оси у,сброс ошибки,2024-09-16,2024-09-11,11.0,9.0,2024.0,25.0,5 days,Ш
25451,24-09-062,ЦЕХ 43,5-748,2003.0,станок токарный универсальный,DUS 1110ti,2024-09-11,сбой стойки. ош.plc,выход из строя индуктивных датчиков револьверной головы.,замена датчиков.,2024-09-11,2024-09-11,11.0,9.0,2024.0,25.0,0 days,Т
25452,24-09-065,ЦЕХ 20,6-622,2017.0,установка хромирование газовым методом,УМДП-И2,2024-09-11,не откр. клапан запуска воздуха,не открывается клапан,замена блока управления и клапана,2024-09-17,2024-09-11,11.0,9.0,2024.0,25.0,6 days,У
25453,24-09-063,ЦЕХ 43,5-234,2001.0,центр токарно-сверлильный фрезерный,M120,2024-09-11,отказ перемещ.по осям шпинделя,наезд на концевой выключатель.,перезагрузка.,2024-09-12,2024-09-11,11.0,9.0,2024.0,25.0,1 days,А
25454,24-09-066,ЦЕХ 20,5-638,2018.0,станок электроэрозионный прошивочный с чпу,FORM 30,2024-09-11,не раб. сист.пожарной остановки,неисправен аккумулятор пб,"диагностика, требуется приобрести аккумулятор пб",2024-09-13,2024-09-11,11.0,9.0,2024.0,25.0,2 days,Э
25455,24-09-068,ЦЕХ 20,5/464,1987.0,эл.эрозион.копиров.прошив.ст-к с пу,4Е-723,2024-09-11,не раб шкаф.чпу,не работает шкаф чпу,"диагностика, замена разъема платы управ.",2024-09-19,2024-09-11,11.0,9.0,2024.0,25.0,8 days,Э
25456,24-09-064,ЦЕХ 39,5-602,2005.0,электроэрозионный проволоч-вырезной ст-к,AQ-535L,2024-09-11,"ош.е00333,в приводе по оси у",неисправен привод оси х,диагностика .требуется ремонт подразделением завода ,2024-10-22,2024-09-11,11.0,9.0,2024.0,25.0,41 days,Э
25457,24-09-074,ЦЕХ 39,5/533,2001.0,электроэрозионный станок,EVOLUTION-3,2024-09-12,ош. тем. да за пределами допуска.,вышел из строя клапан w 31 с-мы охлаждения,необходимо приобретение нового клапана,2024-09-17,2024-09-12,12.0,9.0,2024.0,25.0,5 days,Э
25458,24-09-075,ЦЕХ 9,7-103,2002.0,виброшлифовалная установка,RMBC2.11+ RF 40/4PS,2024-09-12,не поднимается короб. полнотью не выполняет цикл.,сбой по.,,2024-09-19,2024-09-12,12.0,9.0,2024.0,25.0,7 days,Л
25459,24-09-071,ЦЕХ 38,6-254,2007.0,печь,ВИП-НК,2024-09-12,проверка герметичности,проверка выполнена.,проверка выполнена.,2024-09-13,2024-09-12,12.0,9.0,2024.0,25.0,1 days,Г
25460,24-09-073,Отдел станков с программным управлением,5-792,2021.0,токарный обрабатывающий центр с чпу,Genos L300-M,2024-09-12,автом. двери не откр.,сбой по робота после скачка напряжения.,сброс памяти робота.,2024-09-30,2024-09-12,12.0,9.0,2024.0,25.0,18 days,Т
25461,24-09-072,ЦЕХ 38,6/228,1999.0,устаhовка вакуумhая плавильhая,УВНК-12П,2024-09-12,проверка герметичности,проверка выполнена.,проверка выполнена.,2024-09-13,2024-09-12,12.0,9.0,2024.0,25.0,1 days,Г
25462,24-09-077,ЦЕХ 41,5-608,2011.0,5-ти координатный шлифовальный станок,PROFIMAT MT 616,2024-09-13,ош выхода щупа,нехватка расхода сжатого воздуха.,требуется установка ресивера входе пневмосистемы станка.,2024-10-07,2024-09-13,13.0,9.0,2024.0,28.0,24 days,Ш
25463,24-09-078,ЦЕХ 14,5-617,2021.0,станок высокоскоростной для шлифования законцовок лопаток с чпу,DANTIP R3-1500/2000,2024-09-13,кондиционер не охлаждает раб зону,нет охлаждения раб зоны,диагностика,2024-09-17,2024-09-13,13.0,9.0,2024.0,28.0,4 days,Ш
25464,24-09-081,ЦЕХ 43,1-2727,1976.0,станок токарный с чпу,МДW-20S,2024-09-13,ош по z,выход из строя датчика линейных перемещений оси z.,ремонт датчика.,2024-09-17,2024-09-13,13.0,9.0,2024.0,28.0,4 days,Т
25465,24-09-085,ЦЕХ 5,7/274,1988.0,токарhый п/автомат с чпу,АТПр-800М,2024-09-13,при превышении числа оборотов выше 15 выдаёт ошибку об их несоответствии,единичный сбой,диагностика,2024-09-16,2024-09-13,13.0,9.0,2024.0,28.0,3 days,Т
25466,24-09-080,ЦЕХ 43,1/1719,1973.0,токарно-винтор. с чпу,MDW-20,2024-09-13,залипание суппорта,сбой по.,диагностика.,2024-09-17,2024-09-13,13.0,9.0,2024.0,28.0,4 days,Т
25467,24-09-076,ЦЕХ 41,3-217,2002.0,уhиверсальhо-круглошлифовальhый ст-к,КШ-3М,2024-09-13,н/р привод абразива,не набирает оборотв привод абразива,"подтянули контакты, ст-к передан на технологический прогон",2024-09-27,2024-09-13,13.0,9.0,2024.0,28.0,14 days,Ш
25468,24-09-082,ЦЕХ 23,5-253,2014.0,центр обрабатывающий вертикально-фрезерный,MCV 754 QUICK,2024-09-13,нет смены инструмента (теряет инструмент),износ губок магазина инструмента.,замена силами цеха.,2024-10-10,2024-09-13,13.0,9.0,2024.0,28.0,27 days,А
25469,24-09-084,ЦЕХ 8,5/299,1980.0,элektpo-эpoз.ct,4Г721М,2024-09-13,быстро сгорают электроды,сбой режима работы станка,подбор оптимального режима работы,2024-09-17,2024-09-13,13.0,9.0,2024.0,28.0,4 days,Э
25470,24-09-083,ЦЕХ 19,8-150,2005.0,станок зубошлифовальный,P600/800G,2024-09-13,выход из строя компрессора холодильной установки,выход из строя компрессора. требуется замена.,диагностика.,2024-09-16,2024-09-13,13.0,9.0,2024.0,28.0,3 days,Ш
25471,24-09-079,ЦЕХ 20,5/464,1987.0,эл.эрозион.копиров.прошив.ст-к с пу,4Е-723,2024-09-13,нет прожига по z,нет прожига по z,"перетяжка линии концевиков оси z, требуется замена поплавка",2024-09-19,2024-09-13,13.0,9.0,2024.0,28.0,6 days,Э
25474,24-09-090,ЦЕХ 43,5-218,2004.0,oбpaбатывающий цehtp с чпу,TB-1306,2024-09-16,перегрев по гидравлике,выход из строя насоса гидростанции.,насос заменён силами цеха.,2024-09-19,2024-09-16,16.0,9.0,2024.0,26.0,3 days,А
25475,24-09-092,ЦЕХ 25,5-746,2002.0,tokaphый ctанок с чпу,SLT-630/1500MC,2024-09-16,ош 2026 - выбивает автомат,грееется двигатель,механику цеха выяснить причину и устранить неисправность,2024-09-27,2024-09-16,16.0,9.0,2024.0,26.0,11 days,Т
25476,24-09-091,ЦЕХ 25,5/610,1989.0,tokaphый п/abtom. с чпу,SPT-32 NC,2024-09-16,н/р транспортер,единичный сбой,перезапуск,2024-09-17,2024-09-16,16.0,9.0,2024.0,26.0,1 days,Т
25477,24-09-086,ЦЕХ 3,3-82,2003.0,"комплекс,пресс модельный с запирающим устройством",105-12,2024-09-16,запуск оборудования,запуск после длительного простоя,"диагностика: н/р бойлер, приборы управления температурой, неправильная работа г/цилиндра. механику цеха необходимо устранить дефекты",2024-11-05,2024-09-16,16.0,9.0,2024.0,26.0,50 days,Л
25478,24-09-087,ЦЕХ 43,5-751,2013.0,станок многоцелевой координатный высокопрецизионный,МЦ 1300-6,2024-09-16,расшатались тормоза шпинделя,износ тормозной системы. необходимо протянуть регулировочные винты тормозных механизмов.,диагностика.,2024-09-18,2024-09-16,16.0,9.0,2024.0,26.0,2 days,Ф
25479,24-09-088,ЦЕХ 24,5-1531,2018.0,стенд импульсно-магнитно-турбулентной бесконтактной очистки,ОПШ-05,2024-09-16,замена блока управления,выход из строя контроллера оборотов,произведена замена блока контроллера оборотов,2024-10-18,2024-09-16,16.0,9.0,2024.0,26.0,32 days,З
25480,24-09-089,ЦЕХ 19,5-789,2021.0,токарный обрабатывающий центр с чпу,HI-TECH 230 ALYMC,2024-09-16,неисправность рев головы,смещение револверной головы.,ввод коррекции.,2024-09-17,2024-09-16,16.0,9.0,2024.0,26.0,1 days,Т
25481,24-09-099,ЦЕХ 25,5-746,2002.0,tokaphый ctанок с чпу,SLT-630/1500MC,2024-09-17,неисправность насоса г/станции,износ насоса,замена насоса,2024-09-19,2024-09-17,17.0,9.0,2024.0,26.0,2 days,Т
25482,24-09-098,ЦЕХ 20,3-658,2002.0,печь вакум. горизонтальная,RVFOQ-4.24 R,2024-09-17,ош предохранителя вентилятора,срабатывает сигнализация перегрева мотора,настройка блока управления,2024-09-24,2024-09-17,17.0,9.0,2024.0,26.0,7 days,Г
25483,24-09-097,ЦЕХ 41,11-34,1986.0,профилешлифовальный станок с чпу,GLS-135 AS,2024-09-17,не вкл,выход из строя привода шпинделя и оси z,ремонт привода шпинделя и оси z,2024-09-19,2024-09-17,17.0,9.0,2024.0,26.0,2 days,Ш
25484,24-09-094,ЦЕХ 23,5-207,2002.0,универсальный фрезерный станок,DMU 60T,2024-09-17,травит воздух внутри станка,травление воздуха из-за открытого клапана сброса конденсата,клапан закрыт,2024-09-18,2024-09-17,17.0,9.0,2024.0,26.0,1 days,А
25485,24-09-095,ЦЕХ 28,3-245,2012.0,универсальный круглошлифовальный станок,Favorit CNC,2024-09-17,не возвращается в исходную точку по х,выход из строя датчика положения круга.,"замена датчика, ввод коррекции положения осей.",2024-09-18,2024-09-17,17.0,9.0,2024.0,26.0,1 days,Ш
25486,24-09-100,ЦЕХ 3,5/201,1975.0,эл.-эpoз.пpoшtb.ct.,4Г721М,2024-09-17,"нет движения прошивочной головы, нет поднятия ванны",нарушен контакт,восстановление контакта силами цеха,2024-09-19,2024-09-17,17.0,9.0,2024.0,26.0,2 days,Э
25487,24-09-096,ЦЕХ 20,5/464,1987.0,эл.эрозион.копиров.прошив.ст-к с пу,4Е-723,2024-09-17,нет перемещения по z,неисправность платы edm-16 (а10),требуется замена платы edm-16 (а10),2024-09-20,2024-09-17,17.0,9.0,2024.0,26.0,3 days,Э
25488,24-09-102,ЦЕХ 23,5-759,2007.0,вертикально-фрезеоный обр центр с чпу,SCHAUBLIN-60 CNC,2024-09-18,"не выходит в ""0"", ош 443, 610, 9059",не выходит в 0 по у,перезагрузка системы,2024-09-25,2024-09-18,18.0,9.0,2024.0,25.0,7 days,Ф
25489,24-09-103,ЦЕХ 39,5-238,2012.0,обрабатывающий центр фрезерный с чпу,PICOMAX 60-M,2024-09-18,замена компрессора в холод агрегате,вышел из строя компрессор,замена компрессора и настройка контроллера,2024-09-26,2024-09-18,18.0,9.0,2024.0,25.0,8 days,А
25490,24-09-104,ЦЕХ 3,6/197,1985.0,уct.baууk.пл.-зaл.abtom. c пpeд. пoд.фop,УППФ-3МК,2024-09-18,проверка герметичности,проверка выполнена.,проверка выполнена.,2024-09-24,2024-09-18,18.0,9.0,2024.0,25.0,6 days,Г
25491,24-09-105,ЦЕХ 28,3-245,2012.0,универсальный круглошлифовальный станок,Favorit CNC,2024-09-18,"сместить ""0"" точку","сместить ""0"" точки",реферирование,2024-09-19,2024-09-18,18.0,9.0,2024.0,25.0,1 days,Ш
25492,24-09-101,ЦЕХ 23,5-755,2011.0,центр обрабатывающий токарный,DZ 45 CNC/H2,2024-09-18,запуск после простоя,н/р контроллер мневматики,"замена контроллера, ремонт платы входов-выходов, замена датчика пиноли, ввод параметров в контроллер, рег-ка давления пиноли",2024-09-19,2024-09-18,18.0,9.0,2024.0,25.0,1 days,Т
25493,24-09-108,ЦЕХ 25,5-746,2002.0,tokaphый ctанок с чпу,SLT-630/1500MC,2024-09-19,сгорел двигатель г/станции,заклинило эл двигатель г/станции,необходима замена эл двигателя,2024-09-27,2024-09-19,19.0,9.0,2024.0,23.0,8 days,Т
25494,24-09-109,ЦЕХ 9,7-103,2002.0,виброшлифовалная установка,RMBC2.11+ RF 40/4PS,2024-09-19,н/р эл-магн клапан,выход из строя клапана,"замена клапана, механику цеха необходимо заказать и иметь в достаточном наличии данные клапана.проводить то1 и то2, соблюдая стп",2024-09-26,2024-09-19,19.0,9.0,2024.0,23.0,7 days,Л
25495,24-09-110,ЦЕХ 16,5-247,2014.0,обрабатывающий центр фрезерный пятиосевой,MX10,2024-09-19,ош охлаждения привода оси,ош по станции охл-ния шпинделя,даны рекомендации по установке стабилизатора внешнего питания на станок,2024-10-08,2024-09-19,19.0,9.0,2024.0,23.0,19 days,А
25496,24-09-107,ЦЕХ 25,5/659,2000.0,токарный обрабатывающий центр с чпу,VDF 180Cte,2024-09-19,отреферировать голову,сбой,реферирование ,2024-09-20,2024-09-19,19.0,9.0,2024.0,23.0,1 days,Т
25497,24-09-106,ЦЕХ 43,5-227,2010.0,центр вертикальный механизированной обработки,XCEEDER 900RT,2024-09-19,ош 85 (по осям),отсутствие контакта в цепи реле безопасности.,восстановление контакта.,2024-09-20,2024-09-19,19.0,9.0,2024.0,23.0,1 days,А
25498,24-09-114,ЦЕХ 41,4/314,2001.0,п/автомат для червячhых фрез,В3-449Ф2,2024-09-20,плохая подача на абразив,износ механизма подачи,необходимо востановить детали механизма,2024-11-13,2024-09-20,20.0,9.0,2024.0,22.0,54 days,И
25499,24-09-111,ЦЕХ 41,11-34,1986.0,профилешлифовальный станок с чпу,GLS-135 AS,2024-09-20,не вкл,"потеря параметров станка, вызванная сбоем питания._x000d_
для предотвращения необратимых повреждений памяти станка, необходима установка источника бесперебойного питания.",диагностика.,2024-11-01,2024-09-20,20.0,9.0,2024.0,22.0,42 days,Ш
25500,24-09-113,ЦЕХ 19,1-167,2013.0,станок зубофрезерный,GP 300,2024-09-20,н/р холод уст-ка,высокое давление,диагностика,2024-09-24,2024-09-20,20.0,9.0,2024.0,22.0,4 days,М
25501,24-09-115,ЦЕХ 38,6/211,1989.0,установка вакуумная плавильная,УППФ-3М,2024-09-20,проверка герметичности,проверка выполнена.,проверка выполнена.,2024-09-24,2024-09-20,20.0,9.0,2024.0,22.0,4 days,Г
25502,24-09-112,ЦЕХ 19,8/128,1993.0,зубошлифов.ст-к д/конических шестерен,WNC-30,2024-09-20,неисправность датчика по оси с,выход строя инкодера мотора по оси с,диагностика,2024-09-23,2024-09-20,20.0,9.0,2024.0,22.0,3 days,Ш
25505,24-09-120,ЦЕХ 43,5-279,2020.0,5-ти осевой обрабатывающий центр с чпу,КХ 100,2024-09-23,не запускается,програмный сбой,устранен программный сбой,2024-10-02,2024-09-23,23.0,9.0,2024.0,15.0,9 days,А
25506,24-09-126,ЦЕХ 20,6-260,2012.0,вакуумная электропечь,ВЕГА-7,2024-09-23,ремонт вак с-мы,замена масла в диф. насосе.,замена масла в диф. насосе.,2024-09-24,2024-09-23,23.0,9.0,2024.0,15.0,1 days,Г
25507,24-09-129,ЦЕХ 23,5-758,2007.0,вертикально-фрезерный обраб центр с чпу,SCHAUBLIN-60 CNC,2024-09-23,вибрация по х,вибрация по х,диагностика.требуется замена швп,2024-10-29,2024-09-23,23.0,9.0,2024.0,15.0,36 days,Ф
25508,24-09-130,ЦЕХ 23,5-758,2007.0,вертикально-фрезерный обраб центр с чпу,SCHAUBLIN-60 CNC,2024-09-23,вибрация по х,"вибрация по х, ослабла гайка","диагностика, закрепили гайку",2024-10-02,2024-09-23,23.0,9.0,2024.0,15.0,9 days,Ф
25509,24-09-125,ЦЕХ 39,4/578,2001.0,плоско-шлифовальный станок,ОРША-4080,2024-09-23,срабатывает авар отброс камня,нештатный отскок шлифовального круга при вкл магн плиты,"проверка цепей работы эл плат и цепей срабатывания ускоренного хода верт подачи, даны рекомендации по дальнейшему ремонту станка электрикам цеха",2024-10-09,2024-09-23,23.0,9.0,2024.0,15.0,16 days,Ш
25510,24-09-116,ЦЕХ 20,5/523,1987.0,спец.плоско-шлифов. с чпу глубиного шлиф,SLS 221 с ЧПУ,2024-09-23,н/р хол-к,утечкатфриона на соленойдный клапан,"диагностика,устранение утечки,вакуумирование,заправка  фрионом",2024-10-01,2024-09-23,23.0,9.0,2024.0,15.0,8 days,Ш
25511,24-09-123,ЦЕХ 43,5-748,2003.0,станок токарный универсальный,DUS 1110ti,2024-09-23,ошибка по оси х,износ швп оси x. требуется замена швп.,ввод коррекции.,2024-09-30,2024-09-23,23.0,9.0,2024.0,15.0,7 days,Т
25512,24-09-121,ЦЕХ 43,1-2548,2002.0,токарhый ст-к с чпу,MDW-20SM,2024-09-23,клапан датчика не реагирует,станок работает.,диагностика.,2024-09-30,2024-09-23,23.0,9.0,2024.0,15.0,7 days,Т
25513,24-09-117,ЦЕХ 25,5-765,2012.0,токарнный станок с чпу,SPT-32 NC,2024-09-23,не запуск г/станция,разрушилась муфта эл двигателя г/станции и ее крепление,механику цеха необходимо заказать или купить муфту эл двигателя и крепление,2024-10-22,2024-09-23,23.0,9.0,2024.0,15.0,29 days,Т
25514,24-09-122,ЦЕХ 26,5-60,2001.0,токарно-револьверный ст-к с чпу,1В340Ф30,2024-09-23,течь масла из монометра,выход из строя манометра.,замена манометра.,2024-10-10,2024-09-23,23.0,9.0,2024.0,15.0,17 days,Р
25515,24-09-119,ЦЕХ 23,5-207,2002.0,универсальный фрезерный станок,DMU 60T,2024-09-23,травит воздух,повреждение пневматической трубки.,замена трубки силами цеха.,2024-10-10,2024-09-23,23.0,9.0,2024.0,15.0,17 days,А
25516,24-09-118,Отдел станков с программным управлением,5-781,2013.0,центр обрабатывающий верт.фрез.,PICOMAX 60-M,2024-09-23,н/р холодильник,высокая температура,диагностика,2024-09-26,2024-09-23,23.0,9.0,2024.0,15.0,3 days,Ф
25517,24-09-124,ЦЕХ 16,6/465,1986.0,эл.лучeb.уctahobka,ЭЛУ 9Б,2024-09-23,расфокусировка луча,расфокусировка луча,ремонт эл автоматики,2024-10-02,2024-09-23,23.0,9.0,2024.0,15.0,9 days,У
25518,24-09-128,ЦЕХ 20,5-560,2003.0,электроэрозионный станок,HSD6-11,2024-09-23,не снимается приспособление,неисправен привод оси в,закупка привода,2024-10-03,2024-09-23,23.0,9.0,2024.0,15.0,10 days,Э
25519,24-09-127,ЦЕХ 15,6-269,2023.0,печь двухкамерная вакуумная,STRATNANOTECH MAGMA V 1350 D 900X900,2024-09-23,проверка герметичности,,,2024-12-13,2024-09-23,23.0,9.0,2024.0,15.0,81 days,Г
25520,24-09-135,ЦЕХ 43,5-246,2014.0,5-ти осевой обрабатывающий центр с чпу,XCEEDER1200,2024-09-24,ош 285 (авария по уст-ке охл-ния),выход из строя станции охлаждения.,ремонт станци.,2024-09-25,2024-09-24,24.0,9.0,2024.0,21.0,1 days,А
25521,24-09-138,ЦЕХ 23,5/634,1987.0,beptиk-фpeзep.ct. с чпу,МА655 ПН,2024-09-24,ош 7014 (реле протока),нет масла,рекомендации: долить масло в г/систему,2024-09-25,2024-09-24,24.0,9.0,2024.0,21.0,1 days,Ф
25522,24-09-137,ЦЕХ 23,5-244,2013.0,высокоскоростной обрабатывающий центр,МШ 600,2024-09-24,ош 132 (разжата ось в),разрыв пневматической трубки разжима тормоза оси u.,замена трубки.,2024-09-24,2024-09-24,24.0,9.0,2024.0,21.0,0 days,А
25523,24-09-139,ЦЕХ 28,2-248,2003.0,коордиhатhо-шлифовальhый стаhок,S3DR,2024-09-24,нет вращения шпинделя,соединение проводов шпинделя залито маслом,рекомендации: промыть соедининие проводов ацетоном,2024-09-26,2024-09-24,24.0,9.0,2024.0,21.0,2 days,Ш
25524,24-09-134,ЦЕХ 41,11-34,1986.0,профилешлифовальный станок с чпу,GLS-135 AS,2024-09-24,сбой системы чпу,сбой эл питания,восстановление параметров,2024-10-22,2024-09-24,24.0,9.0,2024.0,21.0,28 days,Ш
25525,24-09-132,ЦЕХ 8,5-740,2002.0,токарно-фрезерный станок с чпу,TNC 65EGY,2024-09-24,заменить экран на панели оператора,н/р монитор,замена лампового монитора на жк с преобразователем сигнала,2024-09-24,2024-09-24,24.0,9.0,2024.0,21.0,0 days,Т
25526,24-09-141,ЦЕХ 41,5-756,2012.0,токарно-револьверный центр с чпу,ST-30,2024-09-24,течь сож через патрон г/цилиндра,утечка сож через узел подвода к специнструменту (рассчитанному под струю сож) в револьверной голове,"необходима замена уплотнительного узла , для осуществления покупки необходимо найти документацию по этому узлу",2024-10-31,2024-09-24,24.0,9.0,2024.0,21.0,37 days,Т
25527,24-09-131,ЦЕХ 25,5-230,2002.0,уhиbepсально-фpeзephый станок,DMU-50,2024-09-24,не запускается,н/р ось в,"необходимо определить работоспособность энкодера оси в, ст-к передан в бэсс",2024-10-22,2024-09-24,24.0,9.0,2024.0,21.0,28 days,А
25528,24-09-140,ЦЕХ 9,7-104,2002.0,центробежный гладкошлифовальный станок,FKS 35.2,2024-09-24,загрузочный короб не реагирует на команды,"вышел из строя п/цилиндр транспортера, отсутствует сигнал о его конечном положении","поставили тумблер, симитировали сигнал о конечном положении транспортера",2024-09-25,2024-09-24,24.0,9.0,2024.0,21.0,1 days,Л
25529,24-09-142,ЦЕХ 23,5-262,2017.0,5-ти координатный обрабатывающий центр,go-Mill 350,2024-09-25,ош 8с80 (слишком высокая амплитуда инкодера по у),сбой инкодера двигателя оси у,"перезагрузка с-мы, сброс ошибок",2024-09-27,2024-09-25,25.0,9.0,2024.0,25.0,2 days,А
25530,24-09-143,ЦЕХ 43,5-237,2011.0,вертикально-орабатывающий центр,PICOMAX-95,2024-09-25,н/р магазин смены инструмента,,неисправность устранена,2024-11-05,2024-09-25,25.0,9.0,2024.0,25.0,41 days,А
25531,24-09-144,ЦЕХ 25,5-230,2002.0,уhиbepсально-фpeзephый станок,DMU-50,2024-09-25,не запускается,загрязнение датчика оси в,продувка датчика,2024-11-05,2024-09-25,25.0,9.0,2024.0,25.0,41 days,А
25532,24-09-146,ЦЕХ 43,2-261,2002.0,станок координатно-шлифовальный,S55-400,2024-09-26,не вкл шпиндель,сбой по.,перезагрузка.,2024-09-26,2024-09-26,26.0,9.0,2024.0,23.0,0 days,Ш
25533,24-09-145,ЦЕХ 28,3-245,2012.0,универсальный круглошлифовальный станок,Favorit CNC,2024-09-26,увеличить ход стола,не хватает рабочей зоны для больших деталей,поменяли референтную точку станка оси z,2024-09-26,2024-09-26,26.0,9.0,2024.0,23.0,0 days,Ш
25534,24-09-150,ЦЕХ 25,5-746,2002.0,tokaphый ctанок с чпу,SLT-630/1500MC,2024-09-27,отреферировать рев голову,отреферировать инструментальную револьверную голову,инструментальная револьверная голова отреферирована,2024-10-01,2024-09-27,27.0,9.0,2024.0,21.0,4 days,Т
25535,24-09-148,ЦЕХ 19,8-152,2013.0,профилешлифовальный станок с чпу,P600/800G,2024-09-27,ош тормоза оси у,выход из строя реле тормозов оси y.,замена реле.,2024-10-11,2024-09-27,27.0,9.0,2024.0,21.0,14 days,Ш
25536,24-09-147,ЦЕХ 43,5-751,2013.0,станок многоцелевой координатный высокопрецизионный,МЦ 1300-6,2024-09-27,течь гидр масла,выход из строя автомата,замена автомата,2024-09-27,2024-09-27,27.0,9.0,2024.0,21.0,0 days,Ф
25537,24-09-149,ЦЕХ 16,5-212,2002.0,центр вертикальный обрабатывающий,UCP 1350 TNC 426 M,2024-09-27,ош по гл приводу (моргнул свет),ош гл привода после скачка напряжения,перезагрузка,2024-09-27,2024-09-27,27.0,9.0,2024.0,21.0,0 days,А
